Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
btssmash,389890800,362970,94083,1061,216558,FALSE,English
PietSmiet,387717165,84495,39004,4147,576903,FALSE,German
Payo,385755615,137400,12274,2772,175503,FALSE,English
Shotz,385739280,153105,10316,2523,159763,TRUE,English
실프_ (silphtv),385176540,197055,9401,1891,309065,FALSE,Korean
m0xyy,384746505,136095,25387,2431,461534,FALSE,English
LexVeldhuis,380251830,73935,58416,4939,244467,FALSE,English
NateHill,379971075,111555,41610,3311,1055613,FALSE,English
Shaunz,379800060,97860,20861,3791,148568,FALSE,French
Emongg,379682235,155910,21922,2228,504653,FALSE,English
fl0m,379633995,188070,19318,1931,658323,FALSE,English
AsmodaiTV,379345935,132360,11751,2796,247056,FALSE,English
Homyatol,378734925,70725,26274,4826,375749,TRUE,Italian
Grimmmz,377312595,176580,21993,2153,1001739,TRUE,English
aXtLOL,376430955,73815,25340,4991,763886,FALSE,Portuguese
boyMinORu,376358805,142830,22141,2717,367223,TRUE,Thai
just_ns,376209315,93615,37023,3969,341549,FALSE,Russian
BurkeBlack,372767025,171675,4922,2154,276421,TRUE,English
Trick2g,371417130,132945,28917,2650,1476226,TRUE,English
FORMAL,369971310,137190,16518,2391,512592,FALSE,English
Fortnite,369166335,12030,169084,28584,3558217,FALSE,English
Magic,362552205,43350,114234,5123,365714,FALSE,Spanish
Xari,361741665,80535,28830,4841,269447,FALSE,French
RocketBeansTV,360858030,518415,5223,696,416018,FALSE,German
ANGRYPUG,360278835,184845,9822,1892,366463,TRUE,English
MarcaoRX,359273445,336690,5210,1258,166594,TRUE,Portuguese
yamatonjp,359095725,159420,8247,2269,179920,FALSE,Japanese
btscsgo,357966315,57165,74949,6530,219539,FALSE,English
Skyyart,356907810,111165,32577,2311,598579,FALSE,French
gratis150ml,356697420,198075,9601,1801,741652,FALSE,Portuguese
ShivFPS,355389630,203175,7216,1782,236407,FALSE,English
Ponce,355091505,111360,23255,3043,242969,FALSE,French
Distortion2,354144315,170220,11495,1953,314170,TRUE,English
boxbox,353396640,117720,25314,2717,1717150,FALSE,English
강지 (rkdwl12),353381040,141450,29993,2484,507418,FALSE,Korean
TheKAIRI78,353046060,50310,47081,6795,885915,FALSE,French
RiotGamesRU,352700745,17880,73049,19753,173861,FALSE,Russian
FPSThailand,351025410,158640,38563,2260,390579,FALSE,Thai
김나성 (naseongkim),350120640,215505,7628,1584,103260,FALSE,Korean
오킹 (obm1025),346276365,96000,19328,3563,428179,FALSE,Korean
singsing,346171920,126795,11839,2735,572005,TRUE,English
BlackUFA,345166455,88035,10349,3889,279922,FALSE,Russian
QuattroAce,342273825,185715,48810,1696,157620,FALSE,Russian
bateson87,342162660,98730,20204,3344,598678,FALSE,English
Staiy,341874270,91545,15429,3711,259624,FALSE,German
polsatgames,340417455,57870,66706,5695,141026,FALSE,Polish
NymN,340095510,100125,23488,3402,241746,TRUE,English
orangemorange,338213940,122835,18387,2653,261139,FALSE,German
MinosTV_,338084550,167190,24576,2034,204605,TRUE,French
NairoMK,335695215,106200,22074,3054,339545,FALSE,English
철면수심 (109ace),335311860,145425,12180,2202,166726,FALSE,Korean
UnknownxArmy,333869670,92250,41700,3735,850944,FALSE,English
s1mple,333097410,24615,34971,12723,1681884,FALSE,English
bysTaXx,331965075,48945,259210,6210,1093212,FALSE,Spanish
Sjow,331726155,149700,8140,2189,240206,FALSE,English
hardgamechannel,331308960,55125,27529,5711,786562,FALSE,Russian
scoped,330160515,63360,47343,5165,731808,TRUE,English
VooDooSh,329448660,137670,7560,2519,85678,TRUE,Russian
WELOVEGAMES,328935150,116520,27956,2761,413458,FALSE,Russian
StereOnline,327697680,400770,4227,785,327645,FALSE,Portuguese
keanelol,327242790,147255,7208,2176,162917,FALSE,English
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,FALSE,Korean
sips_,325731015,108990,7872,2984,430755,TRUE,English
ESL_CSGOb,325637220,52530,89949,5114,575769,FALSE,English
kyo1984123,325018110,204975,5967,1516,135687,FALSE,Chinese
midbeast,324433515,118005,16153,2652,330060,FALSE,English
Alexby11,323225055,54810,53526,5331,1448018,FALSE,Spanish
Tumblurr,322841490,81210,17165,3846,353687,FALSE,Italian
Veritas,320121405,135150,103833,1595,182492,FALSE,English
daltoosh,319194420,154440,16445,2038,241602,FALSE,English
ELoTRiX,319051995,56310,31194,5620,895851,TRUE,German
TSM_Viss,316437645,117795,18844,2668,762778,FALSE,English
Anthony_Kongphan,316366395,163920,49085,1858,462128,FALSE,English
modestal,316203420,55455,25985,5660,323364,FALSE,Russian
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,FALSE,Korean
XEWER,315398565,189315,17100,1660,455056,FALSE,French
blxckoutz,314656260,152970,18483,2566,482061,FALSE,Portuguese
EASPORTSFIFA,313078095,12165,106126,24395,1287954,FALSE,English
ALOHADANCETV,312898725,70320,18317,4288,555334,TRUE,Russian
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,FALSE,Korean
Flashpoint,311325840,19320,77708,11713,93616,FALSE,English
Steelmage,311218875,178485,10815,1696,60987,FALSE,English
RoyalPhunk,311093010,104565,12141,2934,204451,TRUE,German
Overpow,309892665,153015,10858,2004,254516,TRUE,Polish
NeVeR_LosEs,309559170,82635,9671,3680,200953,FALSE,Chinese
AvoidingThePuddle,309117315,80955,13108,3893,336181,TRUE,English
Ko0416,307823730,200625,5448,1515,108784,TRUE,Chinese
Dota2ruhub2,307331445,55230,54508,5158,248277,FALSE,Russian
Slushpuppy,307001595,150525,118125,1560,122486,FALSE,English
itmeJP,306920835,145950,24603,2079,369273,FALSE,English
JesusAVGN,306076605,78315,43859,3838,682899,FALSE,Russian
tarzaned,306010080,72390,14602,4159,388878,TRUE,English
Mickalow,305967975,157260,37872,1830,864324,FALSE,French
UNLOSTV,304599090,19995,128345,12171,1585519,FALSE,Turkish
resttpowered,304222200,148335,9248,2072,252184,FALSE,Slovak
Felps,303435945,96930,15553,3109,844681,FALSE,Portuguese
Doublelift,301917225,20370,52584,13364,1389835,FALSE,English
쉐리 (kss7749),301790445,115380,12295,2403,170718,FALSE,Korean
Kiwo,299469345,234330,10836,1243,296481,TRUE,English
adolfz,299235990,62520,15928,4926,294217,TRUE,Portuguese
LigaPro1,298828170,232620,11533,1149,30986,FALSE,Other
knekro,298811910,102210,13731,2912,260728,FALSE,Spanish
Savjz,298693050,86205,12708,3401,542892,FALSE,English
BobbyPoffGaming,298668465,224295,6453,1254,125803,FALSE,English
The_Happy_Hob,295999245,106125,8560,2834,216106,TRUE,English
Smurfdomuca,294868035,107055,18282,2843,267948,FALSE,Portuguese
Timmac,294663825,191970,13500,1460,393639,FALSE,English
Nikolarn,293952480,129510,30044,2279,526389,FALSE,English
소우릎 (so_urf),293688270,167895,9665,1756,95477,FALSE,Korean
RiffTrax,293583075,521445,24765,562,79099,FALSE,English
pimpimenta,293014110,164940,20855,1744,828298,FALSE,Portuguese
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,FALSE,English
crokeyz,292698660,163095,5916,1796,68907,FALSE,English
Letshe,291144945,80745,28808,3073,884661,FALSE,English
SaltyBet,290991045,508140,3467,571,224099,FALSE,English
소니쇼 (sonycast_),290499225,100605,7998,2840,255949,FALSE,Korean
HGmony,290461620,111360,21999,2465,34358,FALSE,Russian
jakenbakeLIVE,289531305,120435,23432,2375,489623,FALSE,English
Syndicate,289369785,58695,22845,4281,3000509,FALSE,English
RakanooLive,289110855,104535,22607,2726,1234662,FALSE,Arabic
공혁준 (rhdgurwns),289103100,76590,40001,3828,289455,FALSE,Korean
limit_maximum,288857850,85905,124818,1886,162040,TRUE,English
ElRichMC,288441015,31155,95938,9062,688715,FALSE,Spanish
guit88man,287764245,140685,7681,1989,144898,TRUE,Russian
RaizQT,286839210,121965,15185,2164,167584,FALSE,English
ReventXz,286819950,84330,47282,3073,362062,FALSE,Spanish
PatoPapao,286740930,100470,11694,2795,656860,FALSE,Portuguese
Replays,285932205,140220,16193,1983,871405,FALSE,English
cdewx,284645955,139140,23448,1904,380159,FALSE,English
亞洲統神 (asiagodtonegg3be0),284354865,63645,18594,4426,494643,FALSE,Chinese
BotezLive,283479405,115845,36278,1985,330772,FALSE,English
Conterstine,283398825,92805,18090,2557,386804,FALSE,Spanish
BeyondTheSummit_PT,282753480,339000,49496,807,203549,FALSE,Portuguese
AlphaCast,281533785,84165,28898,3046,411993,TRUE,French
DownToQuest,281365035,513540,20723,543,82299,TRUE,English
똘똘똘이_ (jungtaejune),280810635,165945,6787,1649,124835,FALSE,Korean
PENTA,280798065,116745,7172,2322,152821,TRUE,English
thedarkness,280707810,155595,7440,1914,536792,FALSE,Portuguese
uhSnow,280296045,88500,8375,3150,134611,TRUE,English
JERICHO,280176915,112860,21935,2401,1191987,FALSE,English
T90Official,279691620,76395,51422,3379,160226,FALSE,English
DanucD,278223765,135030,4439,2045,546052,FALSE,English
DisguisedToast,277695945,20325,38169,9892,1340283,FALSE,English
DesertHeartsRecords,276313155,64620,24264,3620,85097,FALSE,English
Jankos,274889760,45045,18826,5858,573657,FALSE,English
GarenaTW,273964050,12435,85416,22130,401222,FALSE,Chinese
개복어 (dogswellfish),273920670,161235,10929,1601,215413,FALSE,Korean
Sykkuno,272813670,91035,29658,2530,334591,FALSE,English
JokerdTV,271815660,120165,319862,2013,159384,TRUE,English
A1taOda,269877405,140625,11974,1844,537519,FALSE,Russian
livekiss,269518965,517260,7435,520,31323,FALSE,Chinese
Jerma985,269372580,57495,15921,4773,334594,TRUE,English
